data/time,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2019.08.01,195.048,154.764,143.388,143.4,136.38,123.12,150.9,129.492,124.236,147.348,141.984,171.948,223.884,215.172,195.372,177.684,165.336,190.896,205.008,214.872,223.644,228,235.488,217.536
2019.08.02,193.272,155.832,133.32,130.848,135,132.648,137.22,136.212,111.744,133.716,149.472,173.592,202.092,199.188,192.972,191.7,180.828,171.468,177.216,197.22,213.036,236.976,217.212,180.048
2019.08.03,178.788,148.992,126.324,130.776,115.632,120.684,123.204,117.744,118.044,139.512,146.496,158.34,183.792,176.076,176.088,160.356,183.78,169.212,171.372,176.952,182.952,201.132,210.036,169.356
2019.08.04,151.656,129.876,102.612,113.748,95.856,102.588,97.848,89.676,100.896,101.916,102.84,143.208,152.436,135.804,127.644,122.232,105.792,121.656,124.284,134.916,145.248,137.076,149.292,125.496
2019.08.05,82.896,103.728,76.044,78.36,76.296,82.728,111.672,83.868,75.288,96.624,124.248,122.484,175.704,170.448,161.232,153.756,143.544,147.348,164.544,172.104,176.232,176.016,206.304,162.372
2019.08.06,127.404,115.992,101.952,91.368,101.832,93.66,101.976,98.448,97.764,119.124,129.336,136.224,166.74,162.132,170.532,153.24,158.532,163.248,167.556,162.06,164.028,212.712,180.18,154.404
2019.08.07,137.58,126.768,108.072,105.552,92.34,84.744,110.688,103.716,84.684,107.184,122.868,125.928,181.164,162.132,165,138.516,166.416,158.28,156.804,171.96,200.112,199.236,204.336,165.48
2019.08.08,145.896,139.668,118.824,97.86,104.112,117.312,110.748,111.036,101.064,130.464,128.22,130.68,195.168,186.012,155.544,167.256,166.836,163.08,183.828,181.848,204.072,214.896,200.952,195.624
2019.08.09,155.208,131.832,123.564,107.688,110.28,101.508,119.64,120.708,104.016,99.852,125.244,145.596,164.34,169.548,191.604,156.912,155.052,159.78,168.264,152.952,175.512,173.34,164.412,163.188
2019.08.10,129.24,120.456,101.652,112.716,87.864,95.748,90.132,79.716,78.384,83.928,84.372,91.332,95.976,109.668,112.704,96.54,100.224,117.66,122.892,147.264,143.904,143.7,136.596,128.664
2019.08.11,101.928,80.112,79.596,68.784,74.46,68.928,75.78,65.568,83.124,66.324,81.96,89.232,101.232,88.032,102.264,91.56,104.124,118.8,106.644,115.2,121.752,137.328,120.852,104.724
2019.08.12,87.996,72.12,75.336,63.396,65.004,72.6,90.96,83.424,66.48,72.648,81.096,98.772,141.504,122.82,119.076,108.912,119.76,116.316,128.496,138.552,168.108,203.148,168.036,140.088
2019.08.13,112.44,90.708,83.724,78.684,76.74,72.168,90.636,85.62,85.956,84.864,104.328,120.696,137.34,148.548,138.348,149.436,122.58,135.408,154.044,155.208,186.3,188.196,196.032,159.84
2019.08.14,135.492,119.304,106.704,94.152,85.92,97.236,97.116,104.064,99.972,122.688,139.116,133.344,180.66,197.364,160.56,149.676,150.876,152.868,159.228,173.808,185.736,194.712,181.404,160.704
2019.08.15,144.42,118.356,114.372,93.708,84.348,95.844,82.632,88.164,79.692,92.052,115.98,120.6,133.824,157.56,133.812,110.916,130.668,120.492,142.8,144.768,159.504,175.944,162.072,143.088
2019.08.16,114.6,110.256,90.852,90.168,85.704,90.804,96.024,104.724,95.1,106.428,114.168,116.088,153.984,173.724,157.308,137.7,157.752,145.776,165.924,161.628,188.484,185.544,188.46,165.588
2019.08.17,146.064,117.528,112.464,100.776,112.968,103.716,107.472,106.932,122.4,135.42,139.752,155.76,206.472,207.816,207.828,170.064,169.488,159.336,164.088,156.264,181.548,193.92,167.34,147.876
2019.08.18,134.268,109.032,91.344,83.328,84.768,84.636,81.936,86.724,91.548,94.728,92.112,87,119.652,123.3,152.772,136.584,133.032,122.304,117.132,137.184,144.72,157.008,156.828,149.616
2019.08.19,103.404,86.964,70.74,85.212,68.316,79.692,87.912,84,72.492,73.188,82.764,93.24,108.408,114.288,124.884,115.272,95.712,111.636,127.2,131.016,135.048,154.62,138.156,105.072
2019.08.20,86.82,88.392,72.816,65.64,65.208,82.188,84.216,85.848,80.16,89.316,102.108,101.868,123.984,123.66,108.972,106.992,118.2,133.236,116.544,142.176,133.032,133.596,123.252,106.476
2019.08.21,79.692,81.24,68.544,50.472,63.96,62.664,83.388,81.276,76.524,82.344,93.84,112.272,144.96,148.332,111.18,106.716,106.596,109.176,129.168,125.88,151.824,153.36,141.384,118.74
2019.08.22,97.392,80.484,71.496,62.076,62.808,75.36,95.496,77.124,89.832,99.204,99.78,113.268,139.56,158.808,148.128,153.336,117.624,132.552,128.268,143.04,160.236,155.568,164.532,128.7
2019.08.23,107.988,93.156,79.152,78.912,77.904,64.308,97.836,90.132,77.712,95.652,104.088,119.82,129.744,157.296,132.48,100.272,126.72,116.844,127.98,127.704,156.504,150.18,157.968,136.356
2019.08.24,105.216,88.272,86.796,78.468,73.056,71.328,78.744,73.428,83.844,85.152,89.46,94.812,120.648,105.24,126.252,124.308,101.124,91.008,98.64,119.604,129.984,147.78,152.16,124.32
2019.08.25,101.244,99.768,79.452,70.632,91.332,74.292,107.328,81.756,102.204,99.252,110.148,148.032,146.436,171.78,156.708,147.84,122.028,127.656,132.156,164.244,169.44,160.164,155.748,147.84
2019.08.26,108.456,93.024,98.964,83.376,87.3,79.812,105.456,95.88,96.912,116.556,118.704,143.328,193.368,188.568,184.212,157.38,148.332,160.728,183.372,179.16,228.852,199.524,206.784,186.144
2019.08.27,160.284,128.688,113.94,118.68,115.764,104.64,115.284,104.52,126.612,121.716,138.468,146.844,200.076,228.372,194.652,160.176,145.608,169.884,172.38,210.684,185.7,204.552,175.056,164.34
2019.08.28,124.404,116.064,97.524,90.24,81.9,72.672,90.816,93.876,81.744,76.992,77.664,80.088,89.028,119.496,101.16,97.764,89.004,98.196,104.376,151.896,139.872,144.168,112.344,96.732
2019.08.29,76.488,62.028,64.02,48.588,56.16,62.472,67.248,68.16,51.552,63.624,61.212,65.868,68.04,69.684,70.176,53.412,54.384,59.484,83.916,97.176,93.108,83.232,94.428,69.84
2019.08.30,53.844,51.876,38.508,37.38,38.4,40.86,69.312,55.632,56.652,70.428,74.988,78.552,89.136,105.744,76.944,63.66,69.564,69.492,76.332,87.372,75.012,81.636,84.924,78.312
2019.08.31,56.256,53.268,42.876,41.172,46.068,44.292,64.992,59.304,60.228,62.868,72.024,79.62,96.936,97.92,95.46,92.46,84.372,89.784,88.404,99.6,96.888,100.344,78.816,87.408
2019.09.01,57.768,54.3,49.98,48.648,43.08,49.044,60.816,62.508,56.556,66.768,53.088,58.548,57.24,52.164,70.428,57.6,61.344,72.468,64.068,73.56,62.652,65.28,68.616,53.808
